Utterance,Speaker,Emotion,Strategy,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
"But then all our sessions start out like that, don't they, Alex?",Therapist,neutral,Self-disclosure,210,36,1,17,"00:03:39,728","00:03:43,483"
"Maybe I was expecting something a little different today,",Therapist,neutral,Interpretation,210,37,1,17,"00:03:43,752","00:03:46,447"
"maybe because you were early,",Therapist,neutral,Interpretation,210,38,1,17,"00:03:46,577","00:03:48,287"
or because...,Therapist,neutral,Interpretation,210,39,1,17,"00:03:49,169","00:03:50,493"
you've been asking around about me.,Therapist,neutral,Interpretation,210,40,1,17,"00:03:50,892","00:03:53,169"
"Do you want me to tell you why I was early,",Client,depression,undefined,210,41,1,17,"00:03:53,753","00:03:55,557"
or do you wanna just go on and on with your theories?,Client,depression,undefined,210,42,1,17,"00:03:55,687","00:03:58,180"
I'd love to hear.,Therapist,neutral,Communication Skills,210,43,1,17,"00:03:59,293","00:04:00,556"
I went to the base today.,Client,depression,undefined,211,0,1,17,"00:04:03,630","00:04:05,180"
I thought I'd pop over before my session here and say hello to my boys.,Client,depression,undefined,211,1,1,17,"00:04:06,620","00:04:10,207"
"When I got to the gate, I realized I forgot my id.",Client,depression,undefined,211,2,1,17,"00:04:11,642","00:04:14,132"
Now usually that's not a big deal.,Client,depression,undefined,211,3,1,17,"00:04:14,262","00:04:16,140"
But there's a new grunt at the gate...,Client,depression,undefined,211,4,1,17,"00:04:16,439","00:04:18,197"
Some real...,Client,depression,undefined,211,5,1,17,"00:04:18,327","00:04:19,453"
okie from Muskogee.,Client,depression,undefined,211,6,1,17,"00:04:19,706","00:04:21,162"
"I told him, look, call the base commander",Client,depression,undefined,211,7,1,17,"00:04:22,261","00:04:25,059"
and tell him that lieutenant Prince is here.,Client,depression,undefined,211,8,1,17,"00:04:25,472","00:04:27,875"
"So he goes in the booth, calls, comes back a minute later,",Client,depression,undefined,211,9,1,17,"00:04:28,695","00:04:31,176"
and he says I'm not on the approved list.,Client,depression,undefined,211,10,1,17,"00:04:31,306","00:04:33,616"
"Now of course this is a real sensitive issue these days, as you can imagine.",Client,depression,undefined,211,11,1,17,"00:04:34,942","00:04:38,426"
"Still I said, To hell with the list. This is what you do: you call Dana",Client,depression,undefined,211,12,1,17,"00:04:39,266","00:04:42,550"
"the secretary, tell her to talk to the commander,",Client,depression,undefined,211,13,1,17,"00:04:42,737","00:04:45,193"
and you tell him that lieutenant Alex Prince Jr.,Client,depression,undefined,211,14,1,17,"00:04:45,323","00:04:48,150"
is waiting at the gate.,Client,depression,undefined,211,15,1,17,"00:04:48,280","00:04:49,830"
"So he goes in, he calls, he comes back, and he says...",Client,depression,undefined,211,16,1,17,"00:04:50,887","00:04:53,788"
"He says, I'm sorry, but the commander is in a meeting.",Client,depression,undefined,211,17,1,17,"00:04:56,374","00:04:58,789"
Now maybe he was in a meeting and he couldn't be disturbed.,Client,depression,undefined,211,18,1,17,"00:04:58,919","00:05:01,661"
Or maybe they were stuffing their faces with doughnuts.,Client,depression,undefined,211,19,1,17,"00:05:02,599","00:05:05,754"
Or maybe he just didn't give a fuck. I don't know.,Client,disgust,undefined,211,20,1,17,"00:05:06,064","00:05:08,255"
"I told that guard, I said, Look, you tell Dana",Client,anger,undefined,211,21,1,17,"00:05:08,385","00:05:10,308"
"if she took the commander's cock out of her fucking mouth once in a while,",Client,anger,undefined,211,22,1,17,"00:05:10,438","00:05:13,679"
then maybe she could hear better.,Client,anger,undefined,211,23,1,17,"00:05:13,809","00:05:15,456"
"Man, I was this close to knocking that motherfucker out.",Client,anger,undefined,211,24,1,17,"00:05:16,936","00:05:20,213"
"Anyway, I didn't get in so I left.",Client,disgust,undefined,211,25,1,17,"00:05:23,673","00:05:25,478"
And that is why I got here early.,Client,disgust,undefined,211,26,1,17,"00:05:25,608","00:05:28,434"
Not...,Therapist,neutral,Approval,211,27,1,17,"00:05:33,815","00:05:34,881"
Not an easy experience.,Therapist,neutral,Approval,211,28,1,17,"00:05:36,345","00:05:37,868"
"No, it's bullshit.",Client,disgust,undefined,211,29,1,17,"00:05:37,998","00:05:39,200"
Now I gotta come and deal with this? I got you coming at me like this?,Client,disgust,undefined,211,30,1,17,"00:05:39,394","00:05:43,094"
That was the tip of the iceberg. My shitty week started on saturday.,Client,depression,undefined,211,31,1,17,"00:05:46,114","00:05:49,044"
Why? What happened on saturday?,Therapist,neutral,Restatement,211,32,1,17,"00:05:50,473","00:05:52,379"
"Okay, we're gonna pretend here. All right.",Client,disgust,undefined,211,33,1,17,"00:05:53,525","00:05:55,816"
We can pretend.,Client,disgust,undefined,211,34,1,17,"00:05:56,360","00:05:57,572"
You know what happened.,Client,disgust,undefined,211,35,1,17,"00:05:58,142","00:05:59,502"
Do I?,Therapist,neutral,Open question,211,36,1,17,"00:06:01,004","00:06:02,122"
I wish you would've warned me about Laura last week.,Client,depression,undefined,211,37,1,17,"00:06:03,574","00:06:05,795"
I wish you would've warned me about Laura last week.,Client,depression,undefined,212,0,1,17,"00:06:03,574","00:06:05,795"
It would have saved us both a lot of heartache.,Client,depression,undefined,212,1,1,17,"00:06:05,925","00:06:08,398"
"I slept with her, okay?",Client,depression,undefined,212,2,1,17,"00:06:12,851","00:06:14,147"
With Laura.,Client,depression,undefined,212,3,1,17,"00:06:15,142","00:06:16,297"
That's what happened on saturday.,Client,depression,undefined,212,4,1,17,"00:06:17,779","00:06:19,450"
But I'm sure you got a full play-by-play from her already.,Client,depression,undefined,212,5,1,17,"00:06:20,228","00:06:22,914"
Did she or did she not talk to you about it?,Client,disgust,undefined,212,6,1,17,"00:06:30,135","00:06:32,511"
I'm not at liberty to discuss my patients or their sessions.,Therapist,neutral,Structuring the therapy,212,7,1,17,"00:06:33,054","00:06:36,018"
Now what is that?,Client,disgust,undefined,212,8,1,17,"00:06:36,190","00:06:37,458"
"Code language for she did discuss it, but you won't tell me?",Client,disgust,undefined,212,9,1,17,"00:06:37,805","00:06:40,561"
"Alex, No.",Therapist,neutral,Structuring the therapy,212,10,1,17,"00:06:41,561","00:06:41,805"
It was pretty weird.,Client,depression,undefined,212,11,1,17,"00:06:50,593","00:06:51,917"
She called to ask me if I wanted to come over for dinner.,Client,depression,undefined,212,12,1,17,"00:06:54,324","00:06:57,047"
"No problem, right?",Client,depression,undefined,212,13,1,17,"00:06:57,751","00:06:59,122"
"So when I got to her place,",Client,depression,undefined,212,14,1,17,"00:07:00,481","00:07:02,161"
I looked at her.,Client,depression,undefined,212,15,1,17,"00:07:04,791","00:07:06,035"
I looked at how she was dressed. I looked at the table.,Client,depression,undefined,212,16,1,17,"00:07:06,595","00:07:08,848"
I looked at the wine. And...,Client,depression,undefined,212,17,1,17,"00:07:08,980","00:07:10,840"
I realized that dinner was obviously just a code name for sex.,Client,depression,undefined,212,18,1,17,"00:07:10,970","00:07:14,965"
This whole thing was like a ritual.,Client,depression,undefined,212,19,1,17,"00:07:15,996","00:07:19,170"
A ritual?,Therapist,neutral,Restatement,212,20,1,17,"00:07:19,704","00:07:20,860"
"Yeah, and all the rules.",Client,depression,undefined,212,21,1,17,"00:07:20,990","00:07:22,701"
"First, of course, there's the meal. She doesn't look like a cook, right?",Client,depression,undefined,213,0,1,17,"00:07:22,831","00:07:26,272"
But she made a big effort.,Client,depression,undefined,213,1,1,17,"00:07:26,786","00:07:28,842"
"For starters, she prepared her own sushi...",Client,depression,undefined,213,2,1,17,"00:07:29,111","00:07:31,084"
California rolls.,Client,depression,undefined,213,3,1,17,"00:07:31,214","00:07:32,594"
They weren't that great actually.,Client,depression,undefined,213,4,1,17,"00:07:33,142","00:07:36,063"
It didn't taste good?,Therapist,neutral,Open question,213,5,1,17,"00:07:33,142","00:07:36,063"
It was just for show. Don't you get it?,Client,depression,undefined,213,6,1,17,"00:07:38,175","00:07:40,311"
"That's the problem nowadays, everything's for show.",Client,disgust,undefined,213,7,1,17,"00:07:40,742","00:07:42,772"
"If you wanna make sushi, take a fucking course.",Client,disgust,undefined,213,8,1,17,"00:07:42,902","00:07:45,042"
Go to a real japanese grocery.,Client,disgust,undefined,213,9,1,17,"00:07:45,172","00:07:46,540"
Don't make it with uncle Ben's rice and imitation crabmeat.,Client,disgust,undefined,213,10,1,17,"00:07:46,670","00:07:49,003"
Come on.,Therapist,neutral,Communication Skills,213,11,1,17,"00:07:49,172","00:07:51,989"
Did you say anything to her?,Therapist,neutral,Open question,213,12,1,17,"00:07:49,172","00:07:51,989"
"Of course not, no.",Client,depression,undefined,213,13,1,17,"00:07:53,237","00:07:54,655"
The dinner was just a lead up to us getting in bed.,Client,depression,undefined,213,14,1,17,"00:07:56,355","00:07:59,330"
I told you that.,Client,depression,undefined,213,15,1,17,"00:07:59,460","00:08:00,657"
It didn't really matter.,Client,depression,undefined,213,16,1,17,"00:08:01,117","00:08:02,563"
So did you want to sleep with her?,Therapist,neutral,Open question,213,17,1,17,"00:08:04,506","00:08:06,545"
"Yeah, but...",Client,depression,undefined,213,18,1,17,"00:08:08,526","00:08:09,628"
it has nothing to do with wanting anything.,Client,depression,undefined,213,19,1,17,"00:08:10,445","00:08:12,775"
"It was all premeditated. It was like a mating ritual,",Client,depression,undefined,213,20,1,17,"00:08:12,905","00:08:16,412"
"like the masai tribe in Tanzania, but for yuppies.",Client,depression,undefined,213,21,1,17,"00:08:16,779","00:08:19,708"
"Anyway, so we got up from the table, we went to her bedroom and had sex.",Client,depression,undefined,213,22,1,17,"00:08:20,878","00:08:24,793"
And that's what happened on saturday.,Client,depression,undefined,213,23,1,17,"00:08:25,431","00:08:27,853"
It's interesting that you tell me so much about this,Therapist,neutral,Interpretation,213,24,1,17,"00:08:29,480","00:08:33,011"
"ritual of you going to bed together, but...",Therapist,neutral,Interpretation,213,25,1,17,"00:08:33,141","00:08:36,381"
nothing about what happened between you.,Therapist,neutral,Interpretation,213,26,1,17,"00:08:37,192","00:08:40,906"
"I'm sure that you've had lousy sushi before, but...",Therapist,neutral,Interpretation,213,27,1,17,"00:08:42,571","00:08:46,007"
I don't think you've been with another woman for a long time.,Therapist,neutral,Interpretation,213,28,1,17,"00:08:47,408","00:08:49,907"
Isn't that correct?,Therapist,neutral,Open question,213,29,1,17,"00:08:50,037","00:08:52,563"
But you know what happened.,Client,depression,undefined,213,30,1,17,"00:08:50,037","00:08:52,563"
So why do you have to hear it from me?,Client,depression,undefined,213,31,1,17,"00:08:53,145","00:08:54,928"
But you know what happened.,Client,depression,undefined,214,0,1,17,"00:08:50,037","00:08:52,563"
So why do you have to hear it from me?,Client,depression,undefined,214,1,1,17,"00:08:53,145","00:08:54,928"
It's interesting that you tell me so much about this,Therapist,neutral,Interpretation,214,2,1,17,"00:08:29,480","00:08:33,011"
"ritual of you going to bed together, but...",Therapist,neutral,Interpretation,214,3,1,17,"00:08:33,141","00:08:36,381"
nothing about what happened between you.,Therapist,neutral,Interpretation,214,4,1,17,"00:08:37,192","00:08:40,906"
"I'm sure that you've had lousy sushi before, but...",Therapist,neutral,Interpretation,214,5,1,17,"00:08:42,571","00:08:46,007"
I don't think you've been with another woman for a long time.,Therapist,neutral,Interpretation,214,6,1,17,"00:08:47,408","00:08:49,907"
Isn't that correct?,Therapist,neutral,Open question,214,7,1,17,"00:08:50,037","00:08:52,563"
But you know what happened.,Client,depression,undefined,214,8,1,17,"00:08:50,037","00:08:52,563"
So why do you have to hear it from me?,Client,depression,undefined,214,9,1,17,"00:08:53,145","00:08:54,928"
You're very preoccupied with who knows what and who said what.,Therapist,neutral,Interpretation,214,10,1,17,"00:08:55,072","00:08:59,194"
"What's important is how you felt about it,",Therapist,neutral,Open question,214,11,1,17,"00:09:00,136","00:09:03,967"
how the experience was for you.,Therapist,neutral,Open question,214,12,1,17,"00:09:04,700","00:09:06,963"
The sex?,Client,depression,undefined,214,13,1,17,"00:09:07,105","00:09:08,119"
The sex is all that anyone wants to talk about.,Client,depression,undefined,214,14,1,17,"00:09:11,443","00:09:14,216"
But is it really as important as you people make it out to be?,Client,depression,undefined,214,15,1,17,"00:09:15,004","00:09:18,053"
"Well, you tell me.",Therapist,neutral,Communication Skills,214,16,1,17,"00:09:18,448","00:09:19,988"
I know that's what it says in all your textbooks. I know that.,Client,depression,undefined,214,17,1,17,"00:09:20,656","00:09:23,542"
"But I ask myself, Is it really the key to everything?",Client,depression,undefined,214,18,1,17,"00:09:23,777","00:09:27,242"
Or is it just the simplest answer?,Client,depression,undefined,214,19,1,17,"00:09:28,042","00:09:29,799"
"but you're the one who started the story by saying that the sex was the issue,",Therapist,neutral,Interpretation,214,20,1,17,"00:09:29,929","00:09:34,116"
that all the rest was just... foreplay.,Therapist,neutral,Interpretation,214,21,1,17,"00:09:34,246","00:09:38,180"
"Okay, I'll tell you what happened.",Client,neutral,undefined,214,22,1,17,"00:09:38,507","00:09:40,808"
"Otherwise you won't feel like you're doing your job, right?",Client,neutral,undefined,214,23,1,17,"00:09:42,577","00:09:45,382"
"But before I start,",Client,neutral,undefined,215,0,1,17,"00:09:49,287","00:09:50,704"
there's something I've gotta know.,Client,neutral,undefined,215,1,1,17,"00:09:51,409","00:09:53,221"
Did you ever jerk off to anything a patient told you?,Client,joy,undefined,215,2,1,17,"00:09:55,669","00:09:58,016"
What?,Therapist,neutral,Open question,215,3,1,17,"00:09:58,410","00:09:59,425"
Come on.,Client,joy,undefined,215,4,1,17,"00:10:00,289","00:10:01,406"
"Come on, you must hear some crazy stories from women...",Client,joy,undefined,215,5,1,17,"00:10:02,111","00:10:05,407"
"Explicit shit, fantasies.",Client,joy,undefined,215,6,1,17,"00:10:06,073","00:10:08,438"
Did you ever jerk off afterwards?,Client,joy,undefined,215,7,1,17,"00:10:08,568","00:10:11,018"
Are you concerned that I'll masturbate to something that you tell me?,Therapist,neutral,Restatement,215,8,1,17,"00:10:12,239","00:10:15,690"
Me? No.,Client,neutral,undefined,215,9,1,17,"00:10:15,875","00:10:16,880"
I'm talking about you've got women they sit here on your couch.,Client,neutral,undefined,215,10,1,17,"00:10:17,011","00:10:19,368"
They tell you all about fucking.,Client,neutral,undefined,215,11,1,17,"00:10:19,500","00:10:21,415"
It must get to you sometimes. I know it would get to me.,Client,joy,undefined,215,12,1,17,"00:10:21,869","00:10:24,134"
Do you masturbate?,Therapist,neutral,Open question,215,13,1,17,"00:10:24,264","00:10:25,486"
"There you go again, you're answering a question with a question.",Client,neutral,undefined,215,14,1,17,"00:10:25,616","00:10:28,166"
"All right, i'll answer with an answer.",Therapist,neutral,Self-disclosure,215,15,1,17,"00:10:28,797","00:10:31,334"
I'm a human being. I masturbate sometimes.,Therapist,neutral,Self-disclosure,215,16,1,17,"00:10:31,464","00:10:34,550"
"My fantasies are about many many things,",Therapist,neutral,Self-disclosure,215,17,1,17,"00:10:34,935","00:10:38,824"
all sorts of women. Is that what you wanted to hear?,Therapist,neutral,Open question,215,18,1,17,"00:10:40,007","00:10:42,915"
That in that regard i'm not that substantially different from you?,Therapist,neutral,Open question,215,19,1,17,"00:10:43,528","00:10:47,074"
That's the first time you've ever answered one of my questions.,Client,neutral,undefined,215,20,1,17,"00:10:47,204","00:10:50,199"
"In any case, you won't masturbate to me and Laura's story.",Client,depression,undefined,215,21,1,17,"00:10:51,082","00:10:53,511"
I guarantee you that.,Client,depression,undefined,215,22,1,17,"00:10:53,652","00:10:54,892"
You may think of it the next time you're having sex with your wife,Client,depression,undefined,215,23,1,17,"00:10:55,415","00:10:57,980"
and you're trying not to come.,Client,depression,undefined,215,24,1,17,"00:10:58,110","00:10:59,697"
It must have been a very...,Therapist,neutral,Approval,215,25,1,17,"00:11:06,008","00:11:08,018"
"complex experience for you,",Therapist,neutral,Approval,215,26,1,17,"00:11:09,539","00:11:12,309"
being with...,Therapist,neutral,Approval,215,27,1,17,"00:11:13,371","00:11:14,733"
Being with another woman after all this time.,Therapist,neutral,Approval,215,28,1,17,"00:11:16,179","00:11:18,949"
"Complex, right.",Client,joy,undefined,215,29,1,17,"00:11:20,498","00:11:22,425"
I gave a shitty performance.,Client,joy,undefined,215,30,1,17,"00:11:27,747","00:11:29,447"
"I made every possible mistake. I was a mess,",Client,joy,undefined,215,31,1,17,"00:11:30,355","00:11:32,772"
to tell you the truth.,Client,joy,undefined,215,32,1,17,"00:11:33,425","00:11:34,824"
"During dinner, before we had sex,",Client,depression,undefined,216,0,1,17,"00:11:40,068","00:11:42,814"
I started thinking about my first date with my wife Michaela,Client,depression,undefined,216,1,1,17,"00:11:43,542","00:11:46,904"
about 15 years ago.,Client,depression,undefined,216,2,1,17,"00:11:47,502","00:11:49,027"
Jesus.,Client,depression,undefined,216,3,1,17,"00:11:50,995","00:11:52,160"
"We had gone out to this bar together, at the time she was the liberal type.",Client,depression,undefined,216,4,1,17,"00:11:55,456","00:11:59,252"
She'd talk openly about everything...,Client,depression,undefined,216,5,1,17,"00:11:59,382","00:12:00,966"
"Foreplay, favorite positions, cuddling afterwards...",Client,depression,undefined,216,6,1,17,"00:12:01,096","00:12:03,970"
cosmo type bullshit.,Client,depression,undefined,216,7,1,17,"00:12:04,100","00:12:06,016"
"And among other things, she told me that researchers found that wine",Client,depression,undefined,216,8,1,17,"00:12:07,697","00:12:10,533"
arouses women sexually and represses men's sexual desires.,Client,depression,undefined,216,9,1,17,"00:12:10,663","00:12:14,805"
Have you ever heard that?,Client,depression,undefined,216,10,1,17,"00:12:14,976","00:12:16,519"
emhua...,Therapist,neutral,Communication Skills,216,11,1,17,"00:12:16,976","00:12:17,016"
"I don't know what made me do it, but at one point",Client,neutral,undefined,216,12,1,17,"00:12:17,100","00:12:19,639"
"during my conversation with laura,",Client,neutral,undefined,216,13,1,17,"00:12:19,832","00:12:21,714"
we hit one of those deadly silences.,Client,neutral,undefined,216,14,1,17,"00:12:22,828","00:12:25,006"
I suddenly told her that,Client,depression,undefined,216,15,1,17,"00:12:26,306","00:12:27,808"
"alcohol sexually represses men,",Client,depression,undefined,216,16,1,17,"00:12:29,376","00:12:31,695"
"while women, it...",Client,depression,undefined,216,17,1,17,"00:12:32,071","00:12:33,479"
"And she... of course, she didn't respond.",Client,depression,undefined,216,18,1,17,"00:12:34,144","00:12:36,604"
"She just gave me one of those looks saying, Why are you telling me this?",Client,depression,undefined,216,19,1,17,"00:12:37,576","00:12:41,646"
Why did you tell her?,Therapist,neutral,Open question,216,20,1,17,"00:12:43,346","00:12:45,546"
I don't know.,Client,neutral,undefined,216,21,1,17,"00:12:43,346","00:12:45,546"
Maybe it was a way to...,Client,neutral,undefined,216,22,1,17,"00:12:49,586","00:12:51,315"
"move the conversation in a sexual direction, make things go forward.",Client,neutral,undefined,216,23,1,17,"00:12:51,445","00:12:55,105"
A kind of signal that she had been cleared to attack.,Client,neutral,undefined,216,24,1,17,"00:12:55,235","00:12:57,817"
Is that what you wanted? For her to... attack?,Therapist,neutral,Restatement,216,25,1,17,"00:13:02,871","00:13:06,261"
Do you think that she understood the signal?,Therapist,neutral,Open question,216,26,1,17,"00:13:06,956","00:13:09,568"
Yeah.,Client,neutral,undefined,216,27,1,17,"00:13:09,698","00:13:10,900"
Is there another way of getting it?,Client,neutral,undefined,216,28,1,17,"00:13:11,083","00:13:13,904"
It might have sounded like,Therapist,neutral,Interpretation,216,29,1,17,"00:13:11,083","00:13:13,904"
an apology in advance that you didn't have any...,Therapist,neutral,Interpretation,216,30,1,17,"00:13:14,034","00:13:18,032"
real sexual...,Therapist,neutral,Interpretation,216,31,1,17,"00:13:19,206","00:13:20,971"
desire for her.,Therapist,neutral,Interpretation,216,32,1,17,"00:13:21,872","00:13:23,407"
I don't think so. She wasn't even too fazed by it.,Client,depression,undefined,216,33,1,17,"00:13:23,601","00:13:25,871"
"She just changed the subject right away,",Client,disgust,undefined,216,34,1,17,"00:13:26,001","00:13:28,632"
"like I had said something nasty,",Client,disgust,undefined,216,35,1,17,"00:13:29,421","00:13:31,036"
something inappropriate at the table with all that sushi.,Client,disgust,undefined,216,36,1,17,"00:13:31,219","00:13:35,139"
And that's what pissed me off.,Client,disgust,undefined,216,37,1,17,"00:13:35,322","00:13:37,182"
Like all her faggy doctor friends,Client,disgust,undefined,216,38,1,17,"00:13:37,482","00:13:38,939"
she hangs out with always say exactly the right thing.,Client,disgust,undefined,216,39,1,17,"00:13:39,069","00:13:41,558"
"So listen, the first chance I got, I looked her right in the eye and I said",Client,depression,undefined,217,0,1,17,"00:13:41,688","00:13:44,940"
"Baby, I have to go to the bathroom.",Client,depression,undefined,217,1,1,17,"00:13:45,560","00:13:48,440"
I'm a bit nervous. It's my first time,Client,depression,undefined,217,2,1,17,"00:13:49,235","00:13:51,481"
since I left my wife.,Client,depression,undefined,217,3,1,17,"00:13:51,611","00:13:53,395"
"This time she could barely squeeze out a smile,",Client,depression,undefined,217,4,1,17,"00:13:54,716","00:13:57,138"
"even a phony one. And from then on, every few minutes, i'd mention my wife",Client,depression,undefined,217,5,1,17,"00:13:57,354","00:14:00,294"
and the separation... Even in bed.,Client,depression,undefined,217,6,1,17,"00:14:00,424","00:14:02,631"
I did it every chance I got just to see her squirm.,Client,disgust,undefined,217,7,1,17,"00:14:03,161","00:14:05,583"
I think I got her completely out of the mood.,Client,disgust,undefined,217,8,1,17,"00:14:08,549","00:14:10,981"
She was totally turned off.,Client,disgust,undefined,217,9,1,17,"00:14:11,263","00:14:13,085"
We had sex.,Client,disgust,undefined,217,10,1,17,"00:14:17,921","00:14:19,114"
It was more like two animals mating.,Client,disgust,undefined,217,11,1,17,"00:14:21,479","00:14:23,508"
I wasn't that hard and I came pretty fast.,Client,disgust,undefined,217,12,1,17,"00:14:24,840","00:14:27,742"
Even on the way to the shower I threw in another,Client,disgust,undefined,217,13,1,17,"00:14:29,665","00:14:31,614"
"I'm sorry, it was my first time in so many years, just for dessert.",Client,disgust,undefined,217,14,1,17,"00:14:31,744","00:14:35,180"
I don't know why I kept saying it.,Client,depression,undefined,217,15,1,17,"00:14:39,783","00:14:41,783"
Were you thinking about your wife?,Therapist,neutral,Open question,217,16,1,17,"00:14:48,141","00:14:49,794"
No.,Client,depression,undefined,217,17,1,17,"00:14:50,597","00:14:51,556"
Or feeling guilty maybe?,Therapist,neutral,Open question,217,18,1,17,"00:14:51,686","00:14:53,275"
"No, why would i?",Client,depression,undefined,217,19,1,17,"00:14:54,278","00:14:55,602"
"Well, because any of those reactions would have been natural, Alex.",Therapist,neutral,Interpretation,217,20,1,17,"00:14:55,856","00:14:59,480"
We haven't talked about your...,Therapist,neutral,Guiding the Pace and Depth of the Conversation,218,0,1,17,"00:15:01,262","00:15:02,952"
"Your separation, how you feel about it.",Therapist,neutral,Guiding the Pace and Depth of the Conversation,218,1,1,17,"00:15:03,159","00:15:05,414"
"No, that's not what this is about.",Client,neutral,undefined,218,2,1,17,"00:15:05,544","00:15:07,280"
The separation was the right thing to do.,Client,neutral,undefined,218,3,1,17,"00:15:07,458","00:15:09,175"
I haven't even looked back on that. Don't you get off topic.,Client,neutral,undefined,218,4,1,17,"00:15:09,307","00:15:12,108"
What is the topic?,Therapist,neutral,Open question,218,5,1,17,"00:15:12,493","00:15:13,827"
"Do our stories match, me and laura's? That's what I want to know.",Client,depression,undefined,218,6,1,17,"00:15:15,755","00:15:19,355"
"Look, on the one hand, you describe this feeling of...",Therapist,neutral,Interpretation,218,7,1,17,"00:15:22,401","00:15:25,321"
"helplessness, weakness,",Therapist,neutral,Interpretation,218,8,1,17,"00:15:25,500","00:15:28,128"
as if you were dragged into sex against your will.,Therapist,neutral,Interpretation,218,9,1,17,"00:15:28,860","00:15:32,703"
"You feel that you didn't perform too well,",Therapist,neutral,Interpretation,218,10,1,17,"00:15:34,709","00:15:37,132"
so you felt...,Therapist,neutral,Interpretation,218,11,1,17,"00:15:37,303","00:15:38,578"
Somewhat humiliated.,Therapist,neutral,Interpretation,218,12,1,17,"00:15:39,808","00:15:41,629"
Then to gain back,Therapist,neutral,Interpretation,218,13,1,17,"00:15:41,930","00:15:43,538"
"some strength and control,",Therapist,neutral,Interpretation,218,14,1,17,"00:15:43,980","00:15:46,346"
you make these references to your wife...,Therapist,neutral,Interpretation,218,15,1,17,"00:15:47,360","00:15:49,755"
in order to belittle Laura.,Therapist,neutral,Interpretation,218,16,1,17,"00:15:50,525","00:15:52,521"
Belittle her?,Client,depression,undefined,218,17,1,17,"00:15:52,694","00:15:53,882"
You really make some pretty far-out connections.,Client,depression,undefined,218,18,1,17,"00:15:55,028","00:15:57,799"
She belittled me. Her whole attitude is...,Client,disgust,undefined,218,19,1,17,"00:15:57,929","00:16:00,684"
It's patronizing.,Client,disgust,undefined,218,20,1,17,"00:16:01,059","00:16:02,760"
You're sure?,Therapist,neutral,Restatement,218,21,1,17,"00:16:01,059","00:16:02,760"
"You're the one who suddenly felt weak, so you attacked.",Therapist,neutral,Interpretation,218,22,1,17,"00:16:02,890","00:16:06,336"
You wanted to regain control.,Therapist,neutral,Interpretation,218,23,1,17,"00:16:06,609","00:16:08,651"
It reminds me of the beginning of our session when you came in here.,Therapist,neutral,Self-disclosure,218,24,1,17,"00:16:09,862","00:16:12,699"
You were vulnerable from what happened at the base.,Therapist,neutral,Self-disclosure,218,25,1,17,"00:16:12,829","00:16:15,011"
You give me the envelope from Laura,Therapist,neutral,Self-disclosure,218,26,1,17,"00:16:15,141","00:16:17,019"
"and then you throw your money on the table,",Therapist,neutral,Self-disclosure,218,27,1,17,"00:16:17,216","00:16:19,499"
"as if you wanted to humiliate me, to make me feel small.",Therapist,neutral,Self-disclosure,218,28,1,17,"00:16:19,629","00:16:24,089"
How's your machine?,Client,neutral,undefined,219,0,1,17,"00:16:27,578","00:16:28,761"
It's good. Thank you.,Therapist,neutral,Communication Skills,219,1,1,17,"00:16:30,201","00:16:31,609"
Are the clients happy?,Client,neutral,undefined,219,2,1,17,"00:16:32,736","00:16:34,522"
"I'm gonna make me some coffee, by the way, if you want some.",Client,neutral,undefined,219,3,1,17,"00:16:36,691","00:16:39,517"
If you've decided to stop being a tea man.,Client,neutral,undefined,219,4,1,17,"00:16:39,921","00:16:41,902"
"Alex, can we get back to this, please?",Therapist,neutral,Guiding the Pace and Depth of the Conversation,219,5,1,17,"00:16:42,091","00:16:44,861"
We're onto something here and I don't want to lose track.,Therapist,neutral,Guiding the Pace and Depth of the Conversation,219,6,1,17,"00:16:45,222","00:16:49,114"
"Just give me a second here, okay?",Client,neutral,undefined,219,7,1,17,"00:16:49,292","00:16:51,297"
I realize we're onto something. I just need a break.,Client,anger,undefined,219,8,1,17,"00:16:54,157","00:16:56,560"
Respect that.,Client,anger,undefined,219,9,1,17,"00:16:56,870","00:16:58,090"
I want you to tell me something...,Client,depression,undefined,219,10,1,17,"00:17:35,091","00:17:37,025"
Honestly.,Client,depression,undefined,219,11,1,17,"00:17:37,260","00:17:38,462"
Do you really think you can help me?,Client,depression,undefined,219,12,1,17,"00:17:45,126","00:17:47,220"
If we sit here and we talk about fucking a few times...,Client,depression,undefined,219,13,1,17,"00:17:56,351","00:17:59,430"
You'll be able to solve all my problems?,Client,depression,undefined,219,14,1,17,"00:18:01,738","00:18:03,532"
I don't have the answer to that question.,Therapist,neutral,Self-disclosure,219,15,1,17,"00:18:05,785","00:18:08,084"
"Yeah, I knew you'd say that.",Client,neutral,undefined,219,16,1,17,"00:18:11,868","00:18:13,540"
"You know, that's what kills me about you people.",Client,depression,undefined,220,0,1,17,"00:18:14,957","00:18:16,874"
Cause any other professional...,Client,depression,undefined,220,1,1,17,"00:18:17,004","00:18:18,798"
"I go to a doctor, he takes a look and he says, This is what you got.",Client,depression,undefined,220,2,1,17,"00:18:19,151","00:18:22,625"
This is how long you have to live.,Client,depression,undefined,220,3,1,17,"00:18:23,153","00:18:24,984"
"If I went to a mechanic, he'd say,",Client,depression,undefined,220,4,1,17,"00:18:25,191","00:18:27,310"
